"","Group","nSpecies","S","alpha","Variance","Pvalue","FDR","ange","sorgh","NormScore.ange","NormScore.sorgh","ange.count","sorgh.count","ange.count.1","sorgh.count.1"
"8952","TI11B_ORYSJ",2,1.0408107170738,3.6,0.277777777777778,0.40031588564518,1,0.194896451,0.226016953,1.09019125464836,0.991430179499247,2,2,2,2
"8953","TI11C_ORYSJ",1,2.94718625347102,1,1,0.052487184,1,0.052487184,NA,2.94718625347102,NA,1,NA,1,NA
"8954","TI11E_ORYSJ",2,1.34624524275915,5.83356087411622,0.171421884776594,0.186594833182958,1,0.145744129,0.023535886,1.0504924013817,1.6419980841366,3,5,3,5
"8955","TI141_ARATH",2,2.04307892422137,4.5271629778672,0.220888888888889,0.0306037941718637,1,0.061964766,0.016134742,1.33497088598293,2.75118696245982,4,2,4,2
"8956","TI142_ARATH",1,0.927904415381657,1,1,0.395381398,1,0.395381398,NA,0.927904415381657,NA,1,NA,1,NA
"8957","TI172_ARATH",2,0.704898584994942,3.6,0.277777777777778,0.672095619064056,1,0.150199516,0.803398043,1.26386050801831,0.145936661971572,2,2,2,2
"8958","TI201_ARATH",2,0.509576685662272,7.68643435216644,0.130099335294283,0.939950262624363,1,0.387112457,0.203020861,0.45553921996855,0.563614151355993,4,9,4,9
"8959","TI205_ARATH",2,0.224725238504863,2.57142857142857,0.388888888888889,0.954919033433929,1,0.697138525,0.875448458,0.36077114334891,0.0886793336608161,1,2,1,2
"8960","TI221_ARATH",2,0.453916624698371,2.57142857142857,0.388888888888889,0.815769879983357,1,0.776434416,0.374491856,0.253043101003572,0.65479014839317,1,2,1,2
"8961","TI223_ARATH",2,0.302589830525417,6.09756097560976,0.164,0.989794916041216,1,0.520226251,0.544820173,0.313675902699582,0.291503758351253,4,4,4,4
"8962","TI22L_ARATH",2,0.145265809416173,2.57142857142857,0.388888888888889,0.983068475426758,1,0.722566214,0.928763816,0.216630811680012,0.0739008071523342,2,1,2,1
"8963","TI232_ARATH",1,0.216826731992975,1,1,0.80506945,1,0.80506945,NA,0.216826731992975,NA,1,NA,1,NA
"8964","TI233_ARATH",1,0.410757945608646,1.8,0.555555555555556,0.780977997049516,1,0.54002658,NA,0.410757945608646,NA,2,NA,2,NA
"8965","TI441_ARATH",2,0.106680364302979,2,0.5,0.980231258241045,1,0.833379787,0.96938356,0.182265813947616,0.0310949146583424,1,1,1,1
"8966","TIC_ARATH",2,0.581017387877443,7.47972943266957,0.133694675589768,0.891553828615124,1,0.166605113,0.350927433,0.659390381924286,0.5026443938306,8,4,8,4
"8967","TIC21_ARATH",2,0.646827854541747,6.35090838498922,0.157457790190072,0.812366196731017,1,0.049136046,0.785697611,1.16210119304401,0.131554516039485,7,3,7,3
"8968","TIC22_PEA",2,1.00777169054004,3.6,0.277777777777778,0.424147677123769,1,0.450487843,0.107971186,0.531616125246299,1.48392725583378,2,2,2,2
"8969","TIC32_ARATH",2,0.420959872514491,7.12431201366483,0.140364430710214,0.970398823889789,1,0.527734576,0.277143017,0.279924884075936,0.561994860953045,5,5,5,5
"8970","TIC32_PEA",2,0.869035792135658,7.12431201366483,0.140364430710214,0.594614410916784,1,0.228453028,0.082730071,0.646609338621557,1.09146224564976,5,5,5,5
"8971","TIC40_PEA",2,0.172089271294943,4.16443594646272,0.240128558310376,0.995425282750652,1,0.839895541,0.658531179,0.116318500553334,0.227860042036552,2,3,2,3
"8972","TIC55_PEA",2,0.300779613476603,5.12539247951975,0.195107009657473,0.982569425229842,1,0.741977588,0.352082844,0.19895749408179,0.402601732871416,2,7,2,7
"8973","TIC62_PEA",2,0.572575866287891,9.67217598902899,0.103389351179537,0.929909236118238,1,0.202563349,0.219663992,0.587485847439222,0.557665885136559,8,8,8,8
"8974","TIF3_ORYSJ",2,0.90046256280058,5.83356087411622,0.171421884776594,0.543476441222796,1,0.126611091,0.214764713,1.12725554534958,0.673669580251582,3,5,3,5
"8975","TIF6A_ORYSI",1,0.306261870186031,1.8,0.555555555555556,0.855383790361808,1,0.631667074,NA,0.306261870186031,NA,2,NA,2,NA
"8976","TIF6A_ORYSJ",2,0.779762370824712,6.1216372352194,0.163354991740892,0.674792285646026,1,0.094877961,0.333950935,0.961291360925381,0.598233380724043,6,3,6,3
"8977","TIF6B_ARATH",1,0.874658829922479,1.8,0.555555555555556,0.469075819226417,1,0.269284121,NA,0.874658829922479,NA,2,NA,2,NA
"8978","TIF6B_ORYSJ",2,1.11608983437171,8.20500090088694,0.121876890944875,0.331385973724883,1,0.35975343,0.007829505,0.447738568844332,1.78444109989909,5,8,5,8
"8979","TIG_ARATH",2,0.806497312028806,6.09756097560976,0.164,0.646139326789199,1,0.077010137,0.450865031,1.23063274389255,0.38236188016506,4,4,4,4
"8980","TIG_SYNP2",2,0.0475692951385034,2,0.5,0.995751382466406,1,0.941138073,0.96611426,0.060665420086173,0.0344731701908338,1,1,1,1
"8981","TIG_SYNP6",1,0.922475903170034,1,1,0.397533567,1,0.397533567,NA,0.922475903170034,NA,1,NA,1,NA
"8982","TIL_ARATH",2,3.00471603126101,7.47972943266957,0.133694675589768,7.60950876746696e-05,0.0138563301187291,0.005163239,7.77e-05,2.52777176795514,3.48166029456687,4,8,4,8
"8983","TILS_WOLWR",2,0.573140266360653,2,0.5,0.682123758507331,1,0.638664478,0.497626991,0.448376036056419,0.697904496664887,1,1,1,1
"8984","TIM10_ARATH",2,0.316668969422843,3.6,0.277777777777778,0.949876161966802,1,0.745703237,0.518622332,0.195618375702702,0.437719563142984,2,2,2,2
"8985","TIM13_ORYSJ",2,1.46039442133137,4.5271629778672,0.220888888888889,0.155710293037652,1,0.057582607,0.097693694,1.37017666496904,1.55061217769369,4,2,4,2
"8986","TIM16_DROME",1,2.01752273650361,1,1,0.132984495,1,0.132984495,NA,2.01752273650361,NA,1,NA,1,NA
"8987","TIM16_SCHPO",2,0.820906572155865,3.12322156585406,0.320182215355107,0.557630628441203,1,0.061958747,0.654599637,1.2180816728594,0.423731471452333,5,1,5,1
"8988","TIM21_ARATH",2,0.371373187194784,2,0.5,0.829208100508445,1,0.556777464,0.854570112,0.585589644918958,0.157156729470609,1,1,1,1
"8989","TIM50_ARATH",2,0.450557819746548,2.57142857142857,0.388888888888889,0.818215141491106,1,0.543726996,0.609625586,0.406205335787382,0.494910303705714,2,1,2,1
"8990","TIM8_ARATH",2,0.480146285835882,4.5271629778672,0.220888888888889,0.889904127183534,1,0.186132581,0.794608534,0.807022107895534,0.153270463776231,4,2,4,2
"8991","TIM9_ORYSJ",2,0.561550287479532,5.45733357387696,0.183239669421488,0.860099587454986,1,0.153441227,0.663973812,0.899730082208606,0.223370492750458,4,3,4,3
"8992","TIO_ARATH",2,0.58797045787469,2.84705882352941,0.351239669421488,0.731374534432323,1,0.131092167,0.934581384,1.1082843481534,0.0676565675959798,3,1,3,1
"8993","TIP11_MAIZE",2,2.14368548960909,2,0.5,0.0726537817291753,1,0.170529787,0.080578317,1.76884529370518,2.518525685513,1,1,1,1
"8994","TIP12_ORYSJ",2,1.39286203442749,6.93888744032152,0.144115322319404,0.147516540953213,1,0.018269574,0.120264411,1.92120874837298,0.864515320482001,4,6,4,6
"8995","TIP21_ORYSJ",1,1.13503359605661,1,1,0.321411323,1,0.321411323,NA,1.13503359605661,NA,1,NA,1,NA
"8996","TIP22_MAIZE",1,3.45678745187851,1,1,0.031530894,1,0.031530894,NA,3.45678745187851,NA,1,NA,1,NA
"8997","TIP41_MAIZE",1,1.77876742847427,1,1,0.168846134,1,0.168846134,NA,1.77876742847427,NA,1,NA,1,NA
"8998","TIP42_MAIZE",2,1.67554244291892,4.97502014504432,0.201004211208293,0.0803703679715808,1,0.067599935,0.022154474,1.79609883831476,1.55498604752307,2,6,2,6
"8999","TIPRL_DICDI",1,0.327632634700121,2.46938775510204,0.40495867768595,0.894687178832321,1,0.548449633,NA,0.327632634700121,NA,3,NA,3,NA
