"","gene","dr7","dr8","ww8","ww9"
"351","AKR1_SOYBN",11.3508,7.7792,12.0816,11.0115333333333
"352","AKR2_ORYSI",16.2015,2.8835,4.559,10.9335
"353","AKR2_ORYSJ",8.8678,3.3614,4.7548,3.2304
"354","AKR2A_ARATH",34.7452857142857,39.8987142857143,31.0131428571429,30.2863571428571
"355","AKR3_ORYSI",14.2973333333333,13.672,17.0316666666667,22.0993333333333
"356","AKRC9_ARATH",15.8526666666667,15.4543333333333,19.654,16.6923333333333
"357","AKRCA_ARATH",9.89075,17.4605,23.09925,19.574
"358","AKRP_ARATH",9.552,20.573,3.508,5.315
"359","AKT1_ORYSI",12.53875,6.90225,13.86375,15.00825
"360","AKT1_ORYSJ",4.79766666666667,10.6413333333333,5.49733333333333,4.69666666666667
"361","AKT2_ORYSJ",10.4477142857143,7.96214285714286,11.2654285714286,10.3547142857143
"362","AL121_ARATH",6.093,3.82,9.856,2.326
"363","AL221_ARATH",5.8425,4.468,8.828,6.0095
"364","AL2B7_ARATH",140.094,123.619,109.145,110.16
"365","AL2C4_ARATH",25.7073333333333,83.0183333333333,86.7253333333333,53.4873333333333
"366","AL3F1_ARATH",19.93,40.887,30.532,23.343
"367","AL3H1_ARATH",28.82625,29.81275,27.68125,32.94575
"368","AL7A1_MALDO",6.631,4.31725,7.52275,6.1995
"369","AL7B4_ARATH",7.568,8.35,6.636,10.523
"370","ALA1_ARATH",8.538,9.794125,9.422875,9.261875
"371","ALA10_ARATH",6.64,4.82,6.749,5.188
"372","ALA12_ARATH",8.78025,12.61575,10.26625,7.01325
"373","ALA2_ARATH",8.46985714285714,8.92742857142857,6.78357142857143,8.18814285714286
"374","ALA2_PANMI",39.4352,49.1592,17.5014,40.8782
"375","ALA3_ARATH",11.044375,9.5815,8.544625,9.363125
"376","ALA4_ARATH",5.527,1.98,9.436,8.823
"377","ALA5_ARATH",10.888,5.391,12.615,6.556
"378","ALA6_ARATH",6.03433333333333,6.933,6.87866666666667,8.57566666666667
"379","ALA8_ARATH",6.2505,0.974,6.22,5.4865
"380","ALA9_ARATH",8.38066666666667,6.29066666666667,9.17233333333333,7.175
"381","ALAT2_ARATH",4.693,3.798,6.031,0
"382","ALAXL_PYRHO",3.4148,2.4984,2.9334,5.669
"383","ALB2_PEA",4.059,3.77666666666667,4.33133333333333,3.66066666666667
"384","ALB3_ARATH",50.5485,62.1375,67.7415,55.5925
"385","ALB31_ARATH",8.773,4.143,7.066,2.775
"386","ALDO1_MAIZE",3.19271428571429,11.725,4.772,7.51971428571429
"387","ALDO1_ORYSJ",7.846,0,6.041,1.964
"388","ALDO2_MAIZE",6.43407692307692,16.3183846153846,10.245,9.11569230769231
"389","ALDO4_ORYSJ",1.308,0,0,5.902
"390","ALDOL_ORYSJ",3.2135,19.895,5.441,8.369
"391","ALE2_ARATH",4.79783333333333,6.18516666666667,5.42383333333333,6.50416666666667
"392","ALF_ARATH",68.74,272.996,87.761,76.508
"393","ALF_MAIZE",45.14875,40.24675,44.14725,48.1325
"394","ALF_ORYSJ",15.8445,2.136,6.0355,4.998
"395","ALF_THECA",8.486,9.834,7.877,6.859
"396","ALF1_PEA",35.3752,71.6704,46.9196,38.1016
"397","ALF4_ARATH",5.10366666666667,7.686,4.58466666666667,8.276
"398","ALFC_ORYSJ",616.532571428571,704.031428571429,730.814714285714,666.299571428571
"399","ALFC3_ARATH",12.492,13.1755,19.1535,18.0665
"400","ALFIN_MEDSA",19.105,33.398,18.933,17.236
"401","ALFL1_ORYSJ",13.206,9.619,10.871,11.54
"402","ALFL3_ORYSJ",12.20925,8.79075,9.0795,9.40975
"403","ALFL5_ORYSJ",15.5878,17.1556,15.9276,12.1416
"404","ALFL6_ORYSI",12.195,17.732,24.779,22.005
"405","ALFL6_ORYSJ",11.602,16.6633333333333,15.9826666666667,15.3703333333333
"406","ALFL7_ARATH",17.76,11.7175,14.369,15.6285
"407","ALFL7_ORYSI",49.6006666666667,41.3816666666667,45.308,50.1516666666667
"408","ALFL7_ORYSJ",29.5253333333333,13.281,25.093,30.717
"409","ALFL8_ORYSJ",26.3416666666667,27.294,25.8353333333333,25.6913333333333
