"","gene","adr7","adr8","aww7","aww8"
"9701","VPS11_ARATH",9.3985,15.1535,8.8155,9.37325
"9702","VPS13_YEAST",2.49,2.9665,3.5655,2.5495
"9703","VPS15_DICDI",6.80566666666667,5.24933333333333,4.75583333333333,7.39883333333333
"9704","VPS15_YEAST",3.94,0,0,0.421
"9705","VPS18_DANRE",10.5254,11.009,7.0708,7.4654
"9706","VPS18_MOUSE",0,4.98,0,5.216
"9707","VPS25_ARATH",12.151,24.449,12.464,15.2185
"9708","VPS27_USTMA",8.69,10.709,6.841,8.289
"9709","VPS29_ARATH",11.4296666666667,8.94933333333333,13.8753333333333,15.1013333333333
"9710","VPS2A_ARATH",9.029375,8.070875,9.33475,13.15825
"9711","VPS2C_ARATH",14.4845,21.8735,15.8065,21.541
"9712","VPS33_ARATH",6.01733333333333,3.06266666666667,5.28266666666667,5.086
"9713","VPS36_ARATH",7.06966666666667,2.22733333333333,4.84033333333333,3.804
"9714","VPS39_MOUSE",17.582,12.0905,11.5415,14.7975
"9715","VPS4_ARATH",32.6453333333333,27.037,33.503,36.89
"9716","VPS41_SOLLC",9.601,9.52033333333333,9.553,8.544
"9717","VPS45_ARATH",6.559,4.6855,5.7265,6.244
"9718","VPS50_RAT",7.926,9.36,7.38,7.516
"9719","VPS51_DANRE",4.538,2.838,4.623,3.768
"9720","VPS51_DICDI",8.331,2.463,4.073,6.136
"9721","VPS51_DROME",4.759,1.617,2.068,7.4965
"9722","VPS54_ARATH",6.97525,4.83,6.522,4.9865
"9723","VPS8_HUMAN",11.212,12.669,5.835,6.352
"9724","VPS8_MOUSE",6.48066666666667,7.62166666666667,5.40366666666667,7.523
"9725","VPS9A_ARATH",6.835,6.458,4.6435,6.4005
"9726","VQ4_ARATH",10.4065,16.9525,15.4695,20.7625
"9727","VSP1_ARATH",3.194,0,5.504,1.762
"9728","VSP55_ARATH",9.368,10.1631666666667,12.9925,12.1356666666667
"9729","VSPA_SOYBN",21.117,8.867,15.983,19.3095
"9730","VSPB_SOYBN",3.618,6.458,1.544,2.065
"9731","VSR1_ARATH",34.9728,42.7468,33.0496,39.6542
"9732","VSR3_ARATH",14.3005,13.0595,14.7235,14.7195
"9733","VSR4_ARATH",4.851,15.346,8.572,7.575
"9734","VSR6_ARATH",6.2135,8.8885,7.7425,7.8345
"9735","VSR7_ARATH",9.712,3.373,7.079,10.012
"9736","VTI11_ARATH",16.459,25.9855,21.212,31.1125
"9737","VTI13_ARATH",17.7076,22.1404,16.7498,21.4292
"9738","WAK2_ARATH",4.05533333333333,2.32988888888889,3.318,3.77977777777778
"9739","WAK3_ARATH",3.48454545454545,1.11954545454545,2.84354545454545,2.726
"9740","WAK4_ARATH",3.1345,0.7495,2.3475,2.618
"9741","WAK5_ARATH",4.70154545454545,2.20127272727273,4.39672727272727,3.10154545454545
"9742","WAKLA_ARATH",3.452,1.9165,4.41,2.368
"9743","WAKLB_ARATH",5.919,0,0.871,2.31
"9744","WAKLE_ARATH",0,0,1.658,1.507
"9745","WAKLF_ARATH",4.363,3.031,4.239,4.649
